="",="(1)",="(2)",="(3)",="(4)"
="",="unempl_rate",="share_highsk",="share_midsk",="share_lowsk"
="immigration share(denominator:pop i,91)",="0.139***",="0.279**",="-0.173**",="-0.295**"
="",="(0.053)",="(0.124)",="(0.080)",="(0.118)"
="year==1996",="0.046***",="0.102***",="-0.211***",="0.050***"
="",="(0.006)",="(0.013)",="(0.008)",="(0.013)"
="year==2001",="0.030***",="0.101***",="-0.213***",="0.078***"
="",="(0.005)",="(0.011)",="(0.007)",="(0.012)"
="year==2006",="0.012**",="0.046***",="-0.038***",="-0.024**"
="",="(0.005)",="(0.011)",="(0.007)",="(0.011)"
="year==2011",="0.012***",="0.029***",="-0.020***",="-0.024***"
="",="(0.004)",="(0.009)",="(0.006)",="(0.009)"
="year==2016",="0.020***",="-0.001",="-0.011***",="-0.006**"
="",="(0.002)",="(0.003)",="(0.002)",="(0.003)"
="year==2021",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="lag_share_college",="-0.154***",="0.254**",="0.066",="-0.122"
="",="(0.058)",="(0.108)",="(0.080)",="(0.112)"
="lag_share_popfifold",="-0.084",="-0.193*",="0.329***",="0.039"
="",="(0.053)",="(0.104)",="(0.087)",="(0.111)"
="First stage: Immigration share",="0.410",="0.410",="0.410",="0.410"
="\ \ \ \ (SE)",="0.141",="0.141",="0.141",="0.141"
="C-D F-stat",="63.612",="63.612",="63.612",="63.612"
="KP F-statistic",="8.44",="8.44",="8.44",="8.44"
="Stock-Yogo CV (10\%)",="16.38",="16.38",="16.38",="16.38"
="Stock-Yogo CV (15\%)",="8.960",="8.960",="8.960",="8.960"
="AR F-statistic",="9.577",="20.336",="12.159",="16.357"
="AR p-value",="0",="0",="0",="0"
="Observations",="2,976",="2,976",="2,976",="2,976"
="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
